     acc_x    ,     acc_y    ,     acc_z     
   -0.023926  ,    0.739014  ,   -0.678467  
   -0.024902  ,    0.741211  ,   -0.677002  
   -0.025635  ,    0.743652  ,   -0.682373  
   -0.023193  ,    0.743652  ,   -0.681152  
   -0.023193  ,    0.741211  ,   -0.677246  
   -0.023682  ,    0.738037  ,   -0.680420  
   -0.023438  ,    0.739746  ,   -0.680176  
   -0.024170  ,    0.739014  ,   -0.680664  
   -0.024170  ,    0.737061  ,   -0.682129  
   -0.023926  ,    0.739990  ,   -0.679688  
   -0.025391  ,    0.739014  ,   -0.678467  
   -0.023438  ,    0.741211  ,   -0.678711  
   -0.024414  ,    0.739502  ,   -0.678955  
   -0.024170  ,    0.740723  ,   -0.679443  
   -0.020996  ,    0.740723  ,   -0.680908  
   -0.024170  ,    0.740479  ,   -0.679199  
   -0.022217  ,    0.738037  ,   -0.679443  
   -0.023926  ,    0.741211  ,   -0.679443  
   -0.023438  ,    0.738770  ,   -0.681641  
   -0.024414  ,    0.738525  ,   -0.679688  
   -0.024414  ,    0.740479  ,   -0.678467  
   -0.025146  ,    0.739258  ,   -0.677490  
   -0.025879  ,    0.739502  ,   -0.678955  
   -0.022461  ,    0.739746  ,   -0.682373  
   -0.025879  ,    0.739990  ,   -0.678467  
   -0.023926  ,    0.739502  ,   -0.679932  
   -0.024902  ,    0.739502  ,   -0.677979  
   -0.024170  ,    0.739258  ,   -0.680176  
   -0.023926  ,    0.739258  ,   -0.678467  
   -0.023193  ,    0.741455  ,   -0.678467  
   -0.023438  ,    0.740723  ,   -0.678467  
   -0.022949  ,    0.740479  ,   -0.680176  
   -0.026367  ,    0.740234  ,   -0.677979  
   -0.023926  ,    0.739502  ,   -0.679199  
   -0.023926  ,    0.740234  ,   -0.678467  
   -0.023193  ,    0.737061  ,   -0.682129  
   -0.025146  ,    0.738281  ,   -0.680908  
   -0.024170  ,    0.738770  ,   -0.681885  
   -0.024170  ,    0.738770  ,   -0.677734  
   -0.021973  ,    0.739502  ,   -0.679199  
   -0.022705  ,    0.740479  ,   -0.680664  
   -0.022949  ,    0.741943  ,   -0.680420  
   -0.023193  ,    0.741455  ,   -0.679932  
   -0.024658  ,    0.740723  ,   -0.679199  
   -0.024902  ,    0.739014  ,   -0.677246  
   -0.025635  ,    0.738770  ,   -0.678223  
   -0.023193  ,    0.738281  ,   -0.681152  
   -0.023926  ,    0.738770  ,   -0.682373  
   -0.022949  ,    0.739502  ,   -0.680664  
   -0.023682  ,    0.738281  ,   -0.679932  
   -0.022461  ,    0.739258  ,   -0.681396  
   -0.021729  ,    0.740967  ,   -0.679199  
   -0.023682  ,    0.740967  ,   -0.674805  
   -0.022949  ,    0.743408  ,   -0.678955  
   -0.024658  ,    0.745605  ,   -0.678711  
   -0.023438  ,    0.740723  ,   -0.680420  
   -0.023926  ,    0.736572  ,   -0.683350  
   -0.024414  ,    0.735352  ,   -0.683594  
   -0.023193  ,    0.739746  ,   -0.681641  
   -0.024170  ,    0.741455  ,   -0.677979  
   -0.024902  ,    0.741211  ,   -0.677490  
   -0.020996  ,    0.739502  ,   -0.677490  
   -0.021729  ,    0.741943  ,   -0.678223  
   -0.021240  ,    0.741455  ,   -0.679199  
   -0.024414  ,    0.738281  ,   -0.679443  
   -0.022949  ,    0.740479  ,   -0.678467  
   -0.024170  ,    0.739258  ,   -0.678955  
   -0.023193  ,    0.739258  ,   -0.678711  
   -0.023193  ,    0.740967  ,   -0.680176  
   -0.025391  ,    0.739258  ,   -0.680420  
   -0.022217  ,    0.743164  ,   -0.680908  
   -0.023193  ,    0.741455  ,   -0.675537  
   -0.024170  ,    0.739014  ,   -0.677002  
   -0.024170  ,    0.739990  ,   -0.677734  
   -0.023926  ,    0.739990  ,   -0.678711  
   -0.023682  ,    0.740234  ,   -0.677979  
   -0.024414  ,    0.741455  ,   -0.678467  
   -0.022217  ,    0.741943  ,   -0.675781  
   -0.021973  ,    0.741943  ,   -0.676270  
   -0.022949  ,    0.741699  ,   -0.677490  
   -0.022461  ,    0.740723  ,   -0.677979  
   -0.021973  ,    0.741699  ,   -0.677979  
   -0.023193  ,    0.741455  ,   -0.676270  
   -0.022949  ,    0.741943  ,   -0.676758  
   -0.021973  ,    0.742920  ,   -0.677979  
   -0.024170  ,    0.742676  ,   -0.678711  
   -0.024170  ,    0.740479  ,   -0.676270  
   -0.024170  ,    0.740479  ,   -0.677734  
   -0.024170  ,    0.741699  ,   -0.677002  
   -0.022217  ,    0.740723  ,   -0.676025  
   -0.019775  ,    0.742920  ,   -0.677002  
   -0.023682  ,    0.741455  ,   -0.676758  
   -0.022461  ,    0.741699  ,   -0.677490  
   -0.022217  ,    0.744141  ,   -0.678955  
   -0.023438  ,    0.742188  ,   -0.675781  
   -0.020996  ,    0.744629  ,   -0.676758  
   -0.021973  ,    0.742920  ,   -0.674805  
   -0.022705  ,    0.743652  ,   -0.674316  
   -0.021729  ,    0.740723  ,   -0.676025  
   -0.024902  ,    0.740967  ,   -0.676758  
   -0.022461  ,    0.742432  ,   -0.675781  
   -0.023438  ,    0.742920  ,   -0.677246  
   -0.020752  ,    0.746338  ,   -0.677490  
   -0.019043  ,    0.747559  ,   -0.674805  
   -0.022705  ,    0.745117  ,   -0.675781  
   -0.023926  ,    0.743652  ,   -0.677490  
   -0.026611  ,    0.748047  ,   -0.683594  
   -0.032471  ,    0.737793  ,   -0.680908  
   -0.026611  ,    0.734619  ,   -0.672607  
   -0.015625  ,    0.749756  ,   -0.667236  
   -0.015625  ,    0.756836  ,   -0.668457  
   -0.015869  ,    0.753906  ,   -0.665771  
   -0.014893  ,    0.728271  ,   -0.666504  
   -0.018066  ,    0.734863  ,   -0.684326  
